User_Id,Location,Age,Age Group,Place_Id,Place_Ratings,Place_Name,Category,City,Price,Rating,Time_Minutes,travel_distance
71,"Depok,Jawa Barat",39,31-40,320,1,Pemandian Air Panas Cimanggu,Cagar Alam,Bandung,23000,3.9,60,106
71,"Depok,Jawa Barat",39,31-40,152,2,Pantai Patihan,Bahari,Yogyakarta,5000,4.1,45,420
92,"Cirebon,Jawa Barat",39,31-40,420,5,Surabaya Museum (Gedung Siola),Budaya,Surabaya,0,4.5,45,475
71,"Depok,Jawa Barat",39,31-40,284,5,Pasar Baru,Pusat Perbelanjaan,Bandung,0,4.3,,106
92,"Cirebon,Jawa Barat",39,31-40,126,3,Pantai Goa Cemara,Bahari,Yogyakarta,4000,4.3,,244
92,"Cirebon,Jawa Barat",39,31-40,69,4,Freedom Library,Budaya,Jakarta,0,5.0,,188
10,"Bekasi,Jawa Barat",39,31-40,236,4,Taman Balai Kota Bandung,Taman Hiburan,Bandung,0,4.6,45,99
10,"Bekasi,Jawa Barat",39,31-40,42,3,Museum Seni Rupa dan Kramik,Budaya,Jakarta,5000,4.4,,24
71,"Depok,Jawa Barat",39,31-40,163,5,Watu Mabur Mangunan,Cagar Alam,Yogyakarta,2500,4.5,60,437
92,"Cirebon,Jawa Barat",39,31-40,226,3,Kawasan Punclut,Taman Hiburan,Bandung,20000,4.4,120,96
92,"Cirebon,Jawa Barat",39,31-40,205,2,Desa Wisata Tembi,Taman Hiburan,Yogyakarta,50000,4.5,,246
10,"Bekasi,Jawa Barat",39,31-40,23,2,Gereja Katedral,Tempat Ibadah,Jakarta,0,4.8,,20
92,"Cirebon,Jawa Barat",39,31-40,5,3,Atlantis Water Adventure,Taman Hiburan,Jakarta,94000,4.5,60,191
71,"Depok,Jawa Barat",39,31-40,319,2,Kawah Rengganis Cibuni,Cagar Alam,Bandung,5000,4.3,,107
71,"Depok,Jawa Barat",39,31-40,134,2,Desa Wisata Gamplong,Taman Hiburan,Yogyakarta,10000,4.4,60,411
10,"Bekasi,Jawa Barat",39,31-40,205,5,Desa Wisata Tembi,Taman Hiburan,Yogyakarta,50000,4.5,,412
92,"Cirebon,Jawa Barat",39,31-40,61,5,Tugu Proklamasi,Budaya,Jakarta,0,4.6,,188
71,"Depok,Jawa Barat",39,31-40,245,1,Jendela Alam,Taman Hiburan,Bandung,20000,4.4,150,100
92,"Cirebon,Jawa Barat",39,31-40,171,5,Candi Ijo,Budaya,Yogyakarta,5000,4.6,60,255
10,"Bekasi,Jawa Barat",39,31-40,268,3,Sudut Pandang Bandung,Taman Hiburan,Bandung,50000,4.6,150,95
92,"Cirebon,Jawa Barat",39,31-40,385,1,Kampung Batik Gedong Semarang,Budaya,Semarang,0,4.4,45,218
10,"Bekasi,Jawa Barat",39,31-40,63,5,Museum Kebangkitan Nasional,Budaya,Jakarta,2000,4.7,45,19
92,"Cirebon,Jawa Barat",39,31-40,259,3,Monumen Perjuangan Rakyat Jawa Barat,Budaya,Bandung,0,4.5,45,97
92,"Cirebon,Jawa Barat",39,31-40,156,5,Pantai Pulang Sawal,Bahari,Yogyakarta,10000,4.5,,286
71,"Depok,Jawa Barat",39,31-40,101,1,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,0,4.0,,423
92,"Cirebon,Jawa Barat",39,31-40,8,5,Ocean Ecopark,Taman Hiburan,Jakarta,180000,4.0,,192
92,"Cirebon,Jawa Barat",39,31-40,142,4,Ledok Sambi,Cagar Alam,Yogyakarta,0,4.6,150,240
71,"Depok,Jawa Barat",39,31-40,365,2,Waduk Jatibarang,Cagar Alam,Semarang,2500,4.3,,399
71,"Depok,Jawa Barat",39,31-40,83,5,Alive Museum Ancol,Taman Hiburan,Jakarta,200000,4.3,,32
71,"Depok,Jawa Barat",39,31-40,40,3,Galeri Nasional Indonesia,Budaya,Jakarta,0,4.6,,25
10,"Bekasi,Jawa Barat",39,31-40,36,4,Skyrink - Mall Taman Anggrek,Taman Hiburan,Jakarta,110000,4.5,180,24
92,"Cirebon,Jawa Barat",39,31-40,370,2,Benteng Pendem,Budaya,Semarang,5000,4.2,60,223
71,"Depok,Jawa Barat",39,31-40,162,4,Kampung Wisata Dipowinatan,Budaya,Yogyakarta,220000,4.5,,425
71,"Depok,Jawa Barat",39,31-40,402,4,Food Junction Grand Pakuwon,Pusat Perbelanjaan,Surabaya,0,4.5,120,655
10,"Bekasi,Jawa Barat",39,31-40,344,3,Pantai Marina,Bahari,Semarang,3000,4.1,,384
71,"Depok,Jawa Barat",39,31-40,96,4,Alun Alun Selatan Yogyakarta,Taman Hiburan,Yogyakarta,0,4.6,60,424
92,"Cirebon,Jawa Barat",39,31-40,386,4,Air Terjun Semirang,Cagar Alam,Semarang,9000,4.4,,217
92,"Cirebon,Jawa Barat",39,31-40,258,3,Museum Gedung Sate,Budaya,Bandung,5000,4.6,,97
92,"Cirebon,Jawa Barat",39,31-40,250,4,Pesona Nirwana Waterpark & Cottages,Taman Hiburan,Bandung,50000,4.1,,112
92,"Cirebon,Jawa Barat",39,31-40,171,1,Candi Ijo,Budaya,Yogyakarta,5000,4.6,60,255
71,"Depok,Jawa Barat",39,31-40,91,1,Situs Warungboto,Taman Hiburan,Yogyakarta,0,4.4,60,427
10,"Bekasi,Jawa Barat",39,31-40,75,4,SnowBay Waterpark,Taman Hiburan,Jakarta,180000,4.3,,11
10,"Bekasi,Jawa Barat",39,31-40,90,5,Kampung Wisata Taman Sari,Taman Hiburan,Yogyakarta,5000,4.6,,410
10,"Bekasi,Jawa Barat",39,31-40,230,4,Stone Garden Citatah,Taman Hiburan,Bandung,30000,4.4,,79
71,"Depok,Jawa Barat",39,31-40,365,4,Waduk Jatibarang,Cagar Alam,Semarang,2500,4.3,,399
92,"Cirebon,Jawa Barat",39,31-40,97,5,Monumen Yogya Kembali,Budaya,Yogyakarta,15000,4.5,30,240
92,"Cirebon,Jawa Barat",39,31-40,237,5,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,75000,4.3,,99
10,"Bekasi,Jawa Barat",39,31-40,339,3,Sam Poo Kong Temple,Budaya,Semarang,35000,4.5,,386
71,"Depok,Jawa Barat",39,31-40,284,3,Pasar Baru,Pusat Perbelanjaan,Bandung,0,4.3,,106
71,"Depok,Jawa Barat",39,31-40,295,3,Museum Nike Ardilla,Budaya,Bandung,0,4.6,,114
71,"Depok,Jawa Barat",39,31-40,218,4,Kawah Putih,Cagar Alam,Bandung,81000,4.5,,108
92,"Cirebon,Jawa Barat",39,31-40,60,3,Museum Tekstil,Budaya,Jakarta,5000,4.5,45,192
10,"Bekasi,Jawa Barat",39,31-40,284,3,Pasar Baru,Pusat Perbelanjaan,Bandung,0,4.3,,99
92,"Cirebon,Jawa Barat",39,31-40,266,1,Caringin Tilu,Cagar Alam,Bandung,0,4.4,,91
10,"Bekasi,Jawa Barat",39,31-40,168,5,Pantai Timang,Bahari,Yogyakarta,10000,4.7,90,458
92,"Cirebon,Jawa Barat",39,31-40,248,4,NuArt Sculpture Park,Taman Hiburan,Bandung,50000,4.7,,102
71,"Depok,Jawa Barat",39,31-40,78,5,Hutan Kota Srengseng,Taman Hiburan,Jakarta,1000,4.3,,22
10,"Bekasi,Jawa Barat",39,31-40,12,2,Pulau Pari,Bahari,Jakarta,150000,4.0,,60
71,"Depok,Jawa Barat",39,31-40,15,2,Pasar Seni,Pusat Perbelanjaan,Jakarta,0,4.4,90,26
10,"Bekasi,Jawa Barat",39,31-40,77,2,Taman Hutan Tebet,Taman Hiburan,Jakarta,0,4.4,60,15
92,"Cirebon,Jawa Barat",39,31-40,405,5,Surabaya North Quay,Taman Hiburan,Surabaya,50000,4.4,,473
71,"Depok,Jawa Barat",39,31-40,364,3,Water Blaster Bukit Candi Golf,Taman Hiburan,Semarang,80000,4.2,60,408
92,"Cirebon,Jawa Barat",39,31-40,142,3,Ledok Sambi,Cagar Alam,Yogyakarta,0,4.6,150,240
92,"Cirebon,Jawa Barat",39,31-40,285,4,Taman Sejarah Bandung,Budaya,Bandung,0,4.6,45,99
10,"Bekasi,Jawa Barat",39,31-40,405,3,Surabaya North Quay,Taman Hiburan,Surabaya,50000,4.4,,643
92,"Cirebon,Jawa Barat",39,31-40,301,1,Lereng Anteng Panoramic Coffee Place,Cagar Alam,Bandung,50000,4.4,150,96
10,"Bekasi,Jawa Barat",39,31-40,145,3,Desa Wisata Rumah Domes/Teletubbies,Taman Hiburan,Yogyakarta,5000,4.1,60,425
10,"Bekasi,Jawa Barat",39,31-40,35,4,Grand Indonesia Mall,Pusat Perbelanjaan,Jakarta,0,4.7,120,20
71,"Depok,Jawa Barat",39,31-40,197,5,Pantai Jungwok,Bahari,Yogyakarta,5000,4.6,,476
71,"Depok,Jawa Barat",39,31-40,200,3,Pantai Watu Kodok,Bahari,Yogyakarta,5000,4.6,,459
92,"Cirebon,Jawa Barat",39,31-40,105,5,Candi Donotirto,Budaya,Yogyakarta,0,4.4,25,242
92,"Cirebon,Jawa Barat",39,31-40,150,4,Wisata Kraton Jogja,Budaya,Yogyakarta,7000,4.7,,243
71,"Depok,Jawa Barat",39,31-40,136,5,Grojogan Watu Purbo Bangunrejo,Taman Hiburan,Yogyakarta,10000,4.5,90,414
71,"Depok,Jawa Barat",39,31-40,276,3,Taman Jomblo,Taman Hiburan,Bandung,10000,4.1,30,106
10,"Bekasi,Jawa Barat",39,31-40,134,5,Desa Wisata Gamplong,Taman Hiburan,Yogyakarta,10000,4.4,60,397
71,"Depok,Jawa Barat",39,31-40,29,2,Wisata Kuliner Pecenongan,Pusat Perbelanjaan,Jakarta,0,5.0,,26
92,"Cirebon,Jawa Barat",39,31-40,62,1,Taman Legenda Keong Emas,Taman Hiburan,Jakarta,30000,4.5,,180
71,"Depok,Jawa Barat",39,31-40,214,2,Trans Studio Bandung,Taman Hiburan,Bandung,280000,4.5,240,110
71,"Depok,Jawa Barat",39,31-40,363,4,Pantai Maron,Bahari,Semarang,5000,3.4,,399
92,"Cirebon,Jawa Barat",39,31-40,235,3,Gua Belanda,Cagar Alam,Bandung,15000,4.4,45,94
92,"Cirebon,Jawa Barat",39,31-40,209,4,Pantai Sanglen,Bahari,Yogyakarta,10000,4.5,,282
92,"Cirebon,Jawa Barat",39,31-40,228,4,Museum Sri Baduga,Budaya,Bandung,3000,4.5,,100
10,"Bekasi,Jawa Barat",39,31-40,280,4,Gereja Tiberias Indonesia Bandung,Tempat Ibadah,Bandung,0,4.9,,102
92,"Cirebon,Jawa Barat",39,31-40,309,5,Observatorium Bosscha,Cagar Alam,Bandung,25000,4.5,,96
10,"Bekasi,Jawa Barat",39,31-40,234,3,Amazing Art World,Budaya,Bandung,75000,4.5,45,93
92,"Cirebon,Jawa Barat",39,31-40,346,3,Indonesia Kaya Park,Taman Hiburan,Semarang,0,4.6,45,217
71,"Depok,Jawa Barat",39,31-40,125,3,Alun-alun Utara Keraton Yogyakarta,Budaya,Yogyakarta,0,4.6,60,424
92,"Cirebon,Jawa Barat",39,31-40,87,1,Sindu Kusuma Edupark (SKE),Taman Hiburan,Yogyakarta,20000,4.2,120,239
71,"Depok,Jawa Barat",39,31-40,404,2,Kenjeran Park,Taman Hiburan,Surabaya,35000,4.2,120,669
71,"Depok,Jawa Barat",39,31-40,281,4,Tektona Waterpark,Taman Hiburan,Bandung,60000,3.8,,112
10,"Bekasi,Jawa Barat",39,31-40,159,2,Hutan Pinus Asri,Cagar Alam,Yogyakarta,2500,4.5,,423
46,"Purwakarat,Jawa Barat",38,31-40,107,4,Bangsal Pagelaran,Budaya,Yogyakarta,5000,4.6,,351
298,"Bogor,Jawa Barat",38,31-40,176,4,Museum Gunung Merapi,Budaya,Yogyakarta,10000,4.4,60,435
258,"Bandung,Jawa Barat",38,31-40,286,1,Roemah Seni Sarasvati,Budaya,Bandung,0,4.4,,2
274,"Bekasi,Jawa Barat",38,31-40,134,4,Desa Wisata Gamplong,Taman Hiburan,Yogyakarta,10000,4.4,60,397
298,"Bogor,Jawa Barat",38,31-40,240,4,Taman Lalu Lintas Ade Irma Suryani Nasution,Taman Hiburan,Bandung,7000,4.4,60,116
298,"Bogor,Jawa Barat",38,31-40,358,1,Masjid Kapal Semarang,Tempat Ibadah,Semarang,0,4.1,,408
97,"Bekasi,Jawa Barat",38,31-40,367,4,Wisata Lereng Kelir,Cagar Alam,Semarang,7000,4.3,,392
258,"Bandung,Jawa Barat",38,31-40,20,1,Museum Taman Prasasti,Budaya,Jakarta,2000,4.5,90,121
298,"Bogor,Jawa Barat",38,31-40,137,5,Wisata Alam Kalibiru,Cagar Alam,Yogyakarta,20000,4.4,90,410
262,"Bogor,Jawa Barat",38,31-40,43,4,The Escape Hunt,Taman Hiburan,Jakarta,70000,4.4,120,39
262,"Bogor,Jawa Barat",38,31-40,269,3,Bumi Perkemahan Batu Kuda,Cagar Alam,Bandung,7500,4.5,,129
97,"Bekasi,Jawa Barat",38,31-40,371,4,Wisata Eling Bening,Cagar Alam,Semarang,25000,4.3,90,396
97,"Bekasi,Jawa Barat",38,31-40,26,3,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,0,4.3,20,24
64,"Bandung,Jawa Barat",38,31-40,1,2,Monumen Nasional,Budaya,Jakarta,20000,4.6,15,120
97,"Bekasi,Jawa Barat",38,31-40,61,1,Tugu Proklamasi,Budaya,Jakarta,0,4.6,,17
262,"Bogor,Jawa Barat",38,31-40,412,1,Masjid Nasional Al-Akbar,Tempat Ibadah,Surabaya,0,4.9,,677
262,"Bogor,Jawa Barat",38,31-40,54,4,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,0,4.2,,38
46,"Purwakarat,Jawa Barat",38,31-40,55,2,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,0,4.5,,83
258,"Bandung,Jawa Barat",38,31-40,293,1,Taman Badak,Taman Hiburan,Bandung,0,4.5,,1
274,"Bekasi,Jawa Barat",38,31-40,321,3,Glamping Lakeside Rancabali,Taman Hiburan,Bandung,30000,4.4,,108
298,"Bogor,Jawa Barat",38,31-40,437,3,Gereja Perawan Maria Tak Berdosa Surabaya,Tempat Ibadah,Surabaya,10000,4.8,,679
97,"Bekasi,Jawa Barat",38,31-40,34,3,Pasar Taman Puring,Pusat Perbelanjaan,Jakarta,0,4.4,60,22
64,"Bandung,Jawa Barat",38,31-40,112,4,Bukit Bintang Yogyakarta,Taman Hiburan,Yogyakarta,25000,4.5,90,332
64,"Bandung,Jawa Barat",38,31-40,142,5,Ledok Sambi,Cagar Alam,Yogyakarta,0,4.6,150,320
298,"Bogor,Jawa Barat",38,31-40,238,4,Gunung Manglayang,Cagar Alam,Bandung,7500,4.5,,128
168,"Subang,Jawa Barat",38,31-40,164,4,Pintoe Langit Dahromo,Cagar Alam,Yogyakarta,2500,4.4,60,331
298,"Bogor,Jawa Barat",38,31-40,15,5,Pasar Seni,Pusat Perbelanjaan,Jakarta,0,4.4,90,48
64,"Bandung,Jawa Barat",38,31-40,402,4,Food Junction Grand Pakuwon,Pusat Perbelanjaan,Surabaya,0,4.5,120,558
258,"Bandung,Jawa Barat",38,31-40,368,1,Kampoeng Rawa,Cagar Alam,Semarang,3000,4.5,,311
